Player,Year,Age,Tm,Winner Tm,SecondPlace,Games,MinutesP,PTS,TRB,AST,STL,BLK,FG,3P,FT,WS,WS48,Winner
Karl Malone,1999,35,UTA,SAS,NYK,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252,True
Michael Jordan,1998,34,CHI,CHI,UTA,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238,True
Karl Malone,1997,33,UTA,CHI,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268,True
Michael Jordan,1996,32,CHI,CHI,SEA,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317,True
David Robinson,1995,29,SAS,HOU,ORL,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273,True
Hakeem Olajuwon,1994,31,HOU,HOU,NYK,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210,True
Charles Barkley,1993,29,PHO,CHI,PHO,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242,True
Michael Jordan,1992,28,CHI,CHI,POR,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274,True
Michael Jordan,1991,27,CHI,CHI,LAL,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321,True
Magic Johnson,1990,30,LAL,DET,POR,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270,True
Magic Johnson,1989,29,LAL,DET,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267,True
Michael Jordan,1988,24,CHI,LAL,DET,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,True
Magic Johnson,1987,27,LAL,LAL,BOS,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263,True
Larry Bird,1986,29,BOS,BOS,HOU,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244,True
Larry Bird,1985,28,BOS,LAL,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238,True
Larry Bird,1984,27,BOS,BOS,LAL,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215,True
